255,15,9,red
69,12,19,red
36,48,30,red
247,38,30,red
139,30,21,red
185,51,51,red
151,49,6,red
174,60,67,red
184,63,73,red
117,8,6,red
211,38,42,red
255,21,22,red
154,41,110,red
83,40,15,red
151,22,50,red
214,25,27,red
158,21,47,red
165,24,39,red
204,21,16,red
255,42,46,red
91,22,21,red
255,17,11,red
255,10,13,red
255,10,0,red
184,89,38,red
255,31,89,red
255,197,36,red
255,9,13,red
201,24,18,red
255,30,18,red
142,141,83,green
117,153,99,green
33,97,86,green
73,182,74,green
131,148,108,green
171,138,96,green
80,139,28,green
142,201,168,green
137,178,172,green
105,143,105,green
177,199,34,green
79,110,31,green
129,137,114,green
38,54,22,green
94,148,31,green
25,37,23,green
124,90,62,green
45,160,108,green
153,165,121,green
23,33,26,green
105,138,52,green
39,189,114,green
99,144,104,green
109,146,85,green
37,59,41,green
54,102,53,green
76,110,172,green
146,155,10,green
87,149,115,green
69,120,52,green
126,58,28,orange
131,69,55,orange
255,121,8,orange
243,185,0,orange
106,48,31,orange
248,160,91,orange
126,76,41,orange
191,124,30,orange
255,162,30,orange
245,197,135,orange
241,188,139,orange
244,205,135,orange
245,196,89,orange
255,164,59,orange
181,106,45,orange
230,189,161,orange
241,192,141,orange
240,165,90,orange
235,175,109,orange
241,197,23,orange
255,136,13,orange
241,197,120,orange
239,185,6,orange
238,187,12,orange
239,138,103,orange
238,185,19,orange
212,113,28,orange
221,118,5,orange
230,148,82,orange
249,199,42,orange
211,186,0,brown
125,129,80,brown
160,25,0,brown
41,21,17,brown
118,3,0,brown
25,13,13,brown
43,28,15,brown
131,109,5,brown
124,71,42,brown
55,22,21,brown
150,73,43,brown
140,67,13,brown
34,17,13,brown
136,107,11,brown
77,47,0,brown
133,72,41,brown
109,41,5,brown
43,25,25,brown
191,43,9,brown
149,93,8,brown
226,34,0,brown
90,11,5,brown
116,18,19,brown
80,34,18,brown
144,39,4,brown
118,45,29,brown
196,11,16,brown
113,145,0,brown
89,36,28,brown
135,36,44,brown
14,8,8,black
0,15,45,black
0,8,6,black
0,9,15,black
0,11,48,black
8,4,7,black
15,13,8,black
20,17,14,black
0,11,110,black
0,24,99,black
18,4,4,black
15,9,0,black
89,11,3,black
58,48,57,black
11,12,15,black
15,18,19,black
67,11,14,black
23,10,57,black
31,18,16,black
28,13,34,black
20,13,16,black
21,3,0,black
20,9,0,black
41,38,19,black
14,15,0,black
3,3,3,black
67,16,11,black
22,5,0,black
122,5,0,black
6,6,7,black
17,72,108,blue
135,102,126,blue
0,92,174,blue
31,79,97,blue
11,93,193,blue
6,109,139,blue
8,87,150,blue
42,91,134,blue
16,75,133,blue
5,11,13,blue
17,116,174,blue
0,73,161,blue
23,136,133,blue
7,126,163,blue
36,111,161,blue
31,29,138,blue
30,98,145,blue
9,131,167,blue
107,125,159,blue
28,97,132,blue
30,108,152,blue
24,208,152,blue
10,57,125,blue
17,87,134,blue
0,100,178,blue
47,86,140,blue
0,80,122,blue
0,116,181,blue
2,120,140,blue
10,99,182,blue
113,90,57,gold
128,100,72,gold
220,193,151,gold
100,88,53,gold
212,184,139,gold
207,179,130,gold
215,191,159,gold
109,107,75,gold
221,201,168,gold
207,179,130,gold
235,197,149,gold
223,191,140,gold
114,87,62,gold
218,192,152,gold
156,88,110,gold
107,44,49,gold
226,192,146,gold
212,181,140,gold
211,187,143,gold
94,68,47,gold
116,89,60,gold
126,51,82,gold
100,78,41,gold
107,80,37,gold
111,114,91,gold
109,95,30,gold
220,190,147,gold
223,191,151,gold
212,191,95,gold
218,188,144,gold
